,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
21,3170725,1,5150000,40.0,22.0,8.0,10.243533672447333,7.0,1,0,0,0,5,5.0,0
22,3218142,1,7500000,37.0,16.0,8.0,13.513738638062852,5.0,1,0,1,1,9,18.0,0
23,3221896,2,5300000,37.0,23.0,7.0,14.139494891909285,15.0,1,0,1,0,2,9.0,0
24,3240914,2,14300000,71.0,44.1,6.0,6.8344806065929795,12.0,1,1,1,1,6,13.0,0
25,3253822,2,8900000,56.0,35.0,9.0,10.084822351516328,6.0,1,0,1,0,5,5.0,0
26,3274856,3,16500000,68.0,44.5,7.0,5.705620740461477,3.0,1,0,1,1,12,12.0,0
27,3320709,2,6100000,42.0,30.4,6.0,11.776939246671303,3.0,0,1,1,1,5,5.0,0
28,3540568,2,9000000,43.0,28.0,6.0,5.488036953860903,7.0,1,1,1,1,5,5.0,0
29,3561493,2,8200000,70.0,48.0,12.0,11.634896768678296,3.0,0,0,0,1,4,17.0,1
30,3576031,3,14000000,94.0,64.0,10.0,11.281606432697348,8.0,1,1,1,1,5,5.0,0
31,3792179,1,5300000,31.0,17.7,6.0,9.389748573999736,15.0,1,0,1,1,3,5.0,0
32,4103963,2,5800000,45.0,31.0,6.0,14.308541163278875,5.0,1,0,1,0,1,5.0,0
33,4335988,4,13900000,99.0,71.0,10.0,10.66573088323398,11.0,1,1,1,1,5,5.0,0
34,4550684,2,11600000,61.0,33.0,10.0,13.185689899919767,3.0,1,1,0,1,3,22.0,0
35,8799060,1,6500000,38.4,20.0,10.0,15.579611759410586,3.0,0,0,0,1,7,22.0,0
36,8856748,1,4700000,32.6,18.7,6.6,11.77254086181286,15.0,1,0,1,0,9,9.0,0
37,8963196,4,62000000,230.0,100.0,40.0,13.226099919213077,5.0,1,0,0,0,16,17.0,0
38,9503328,2,21900000,60.9,31.8,,6.9379399225170015,10.0,1,1,1,0,3,20.0,0
39,10722380,2,6400000,44.4,28.0,6.0,12.784046851498365,11.0,1,0,1,0,7,9.0,0
40,10951855,3,7600000,58.1,43.3,6.0,11.5633095963203,11.0,1,1,0,0,2,5.0,0
41,11607793,5,90000000,400.0,250.0,40.0,13.281682851862655,9.0,1,1,1,1,19,20.0,0
42,11792707,3,10800000,69.0,44.7,10.0,7.642677436821903,3.0,0,0,1,1,8,14.0,0
43,11910103,1,4600000,35.0,21.4,6.0,15.981568390101051,11.0,0,0,1,1,2,9.0,0
44,11926882,2,6700000,45.0,29.0,7.0,13.630300370735858,8.0,1,1,1,1,6,9.0,0
45,11974315,2,6200000,46.0,31.0,9.0,14.406948133112609,3.0,0,0,1,1,7,14.0,0
46,12083890,2,6500000,45.0,30.0,6.0,15.535371594775768,10.0,0,0,1,1,8,9.0,0
47,12121777,3,11800000,76.0,46.0,13.0,17.796696432745076,6.0,0,0,1,1,11,12.0,0
48,12169576,1,9600000,41.6,17.5,10.0,9.08262145530326,5.0,0,1,1,1,14,24.0,0
49,12380317,2,12100000,65.0,35.0,12.0,8.978596054865411,10.0,1,0,1,1,9,10.0,0
50,12560137,3,8500000,54.0,36.3,15.0,15.848134002614902,,0,0,1,1,4,9.0,0
51,12612547,2,9500000,40.0,28.0,6.0,8.778281110717286,12.0,1,0,1,1,5,12.0,0
52,12885613,3,10500000,73.0,46.0,8.0,12.460483828941136,4.0,1,1,1,1,1,5.0,0
53,13025332,3,7200000,63.0,43.0,9.0,11.105061694591381,9.0,1,0,1,0,1,12.0,0
54,13056685,1,5000000,33.0,19.0,6.0,14.31233036428024,3.0,0,0,0,0,9,9.0,0
55,13074301,1,4600000,32.8,17.8,7.5,11.636129181750823,5.0,0,0,1,0,2,9.0,0
56,13074445,1,4600000,32.8,17.8,7.5,11.636129181750823,5.0,0,0,1,0,2,9.0,0
57,13118122,1,10500000,46.0,21.0,9.0,8.887397796800565,14.0,1,1,1,0,4,9.0,0
58,13134445,3,32500000,105.0,80.0,,13.113517843218863,10.0,1,1,0,1,3,17.0,0
59,13343545,2,11000000,64.0,40.0,8.0,11.125348824300453,,0,1,1,0,4,8.0,0
60,13355905,3,11000000,72.9,44.0,10.0,16.65923631326147,10.0,1,0,1,1,12,14.0,0
61,13370293,3,16780000,80.0,55.0,9.0,11.433954970790007,3.0,1,1,1,1,3,5.0,0
62,13383235,2,30500000,105.0,80.0,15.0,13.113517843218863,4.0,1,1,0,0,3,17.0,0
63,13388236,3,11000000,76.3,46.0,11.0,18.117842592858135,10.0,0,0,1,1,15,17.0,0
64,13408373,2,5700000,37.0,24.0,7.0,13.049951403053338,5.0,1,0,0,1,3,9.0,0
65,13893856,3,8500000,64.0,34.4,8.0,11.96244407409578,5.0,1,1,0,0,1,5.0,0
66,14341354,2,8500000,75.7,30.2,12.3,15.892627765937775,15.0,1,0,1,1,1,7.0,0
67,14654032,3,14500000,76.2,46.0,10.0,12.650382982860267,7.0,1,0,1,1,11,16.0,0
68,1338305,2,9000000,56.4,35.1,7.0,8.942095978708867,22.0,1,1,1,0,2,5.0,0
69,1535194,2,52000000,92.0,42.0,18.0,5.830753737260722,1.0,1,1,0,0,2,30.0,0
70,1711530,2,6500000,44.5,28.0,6.0,13.74100614242944,13.0,1,0,1,0,7,9.0,0
71,1838610,3,6600000,52.3,36.1,6.0,16.486720760171195,10.0,0,1,1,0,1,5.0,0
72,1986554,3,13200000,80.4,54.8,8.6,7.735389025005125,10.0,0,1,1,1,7,8.0,0
73,2292702,3,15000000,73.5,45.0,10.0,13.470485714014647,9.0,1,0,0,1,13,17.0,0
74,2343853,3,9700000,70.4,48.3,7.0,6.834288900594352,12.0,1,1,1,1,5,6.0,0
75,2464298,1,14500000,58.0,25.0,15.0,11.137223989714991,12.0,1,1,0,1,8,18.0,0
76,2515421,5,19000000,130.0,90.0,8.0,11.27282827198324,17.0,1,1,1,0,1,5.0,0
77,2547927,6,90000000,400.0,300.0,50.0,13.281682851862655,9.0,1,1,1,1,19,19.0,0
78,2621950,3,105000000,148.0,98.0,13.0,6.818785501069452,9.0,1,0,1,0,4,10.0,0
79,2684980,3,15000000,82.0,60.0,8.0,7.8018288384292545,2.0,0,1,0,1,6,8.0,0
80,2721689,3,12100000,78.0,48.0,10.0,15.625352142489369,7.0,1,0,1,1,14,17.0,0
